"uni","t","qC","pC"
"cbol","1967",90.0070076569702,0.0577707462491931
"cbol","1968",95.1348625596651,0.0646359056454567
"cbol","1969",99.6452505440502,0.0708322670821107
"cbol","1970",105.458092986523,0.0779609109852829
"cbol","1971",112.361856267276,0.0862670689325641
"cbol","1972",118.836077650558,0.0947225810759262
"cbol","1973",128.072141149768,0.104024761984891
"cbol","1974",135.123542947561,0.114150189253
"cbol","1975",142.885987318479,0.129433049013955
"cbol","1976",150.32768924607,0.149891940154259
"cbol","1977",156.346668054914,0.167357400867729
"cbol","1978",161.225337693699,0.183111565603213
"cbol","1979",164.672285155658,0.200164933454605
"cbol","1980",166.293679457605,0.217710210743337
"cbol","1981",168.12734284042,0.236880083436526
"cbol","1982",169.959988756222,0.262157813295153
"cbol","1983",168.79742272729,0.289094099966436
"cbol","1984",170.797536351057,0.310298492192928
"cbol","1985",171.950920719152,0.328477229222007
"cbol","1986",177.063845879914,0.344818190842912
"cbol","1987",177.825238630176,0.367526614913872
"cbol","1988",177.680641248175,0.39213723290587
"cbol","1989",179.332344091522,0.419135088992311
"cbol","1990",182.211160398664,0.439915095346638
"cbol","1991",185.482924166296,0.458222250819161
"cbol","1992",188.342367404709,0.472334972878629
"cbol","1993",187.454053274961,0.491161233334069
"cbol","1994",187.722318176941,0.508466456876116
"cbol","1995",187.407187455385,0.524679471129721
"cbol","1996",189.771617757454,0.536829280394319
"cbol","1997",189.535391508676,0.556499845017979
"cbol","1998",190.273487482373,0.573096433154418
"cbol","1999",190.723279436509,0.587104790410633
"cbol","2000",192.999241975678,0.602399775304049
"cbol","2001",196.032130781541,0.619600616061033
"cbol","2002",198.992055950921,0.638318230308289
"cbol","2003",202.807541632207,0.65517765725384
"cbol","2004",206.303243850712,0.672091138326138
"cbol","2005",209.986091135368,0.701168987926368
"cbol","2006",213.394067682622,0.72259682133871
"cbol","2007",215.851304101788,0.746895061259278
"cbol","2008",218.39651912639,0.770996083974001
"cbol","2009",220.303283874386,0.799345197688516
"cbol","2010",226.711903071699,0.825142683138423
"cbol","2011",230.721277533386,0.849112128254628
"cbol","2012",231.955267430979,0.877276063845157
"cbol","2013",234.036243166927,0.901479284341094
"cbol","2014",234.310423815161,0.923738242096917
"cbol","2015",238.284585360824,0.933462219820827
"cbol","2016",240.664170686116,0.951963590370942
"cbol","2017",244.711713091071,0.964983629173966
"cbol","2018",247.764056064517,0.975863807044876
"cbol","2019",251.728946423262,0.989175236054577
"cbol","2020",258.975809,1
"cbol","2021",261.114673,1.01531088986332
"cbol","2022",260.524162245131,1.05073845604551
"cbol","2023",261.474245146727,1.07591514354362
"cbol","2024",263.603462275596,1.10067644216546
"cbol","2025",267.06646751343,1.13506883070132
"cbil","1967",12.6484021749197,0.20871648161494
"cbil","1968",12.3201861002206,0.214496354073149
"cbil","1969",15.6231671286766,0.215472251706313
"cbil","1970",15.1658134784675,0.225038637383063
"cbil","1971",14.2749340627643,0.244380533364401
"cbil","1972",13.5338634350562,0.295741346822846
"cbil","1973",17.8578838497425,0.2848105656188
"cbil","1974",12.3521951102821,0.295166807797997
"cbil","1975",16.8895954632005,0.335631425415195
"cbil","1976",22.692161673342,0.368250152642656
"cbil","1977",21.9666092357087,0.390103220212518
"cbil","1978",21.3256345888821,0.422980941664576
"cbil","1979",20.8784393702545,0.45476128898442
"cbil","1980",12.1670153263381,0.490176665356022
"cbil","1981",12.4510343619042,0.528217641108026
"cbil","1982",15.2042387397537,0.563478457990775
"cbil","1983",21.6627046403687,0.594402047840544
"cbil","1984",26.4257393143832,0.647912317468481
"cbil","1985",31.5596105601402,0.6737898415913
"cbil","1986",33.3916643011718,0.689583268216792
"cbil","1987",25.0296488129278,0.75038160304907
"cbil","1988",18.6487879805657,0.766056969219006
"cbil","1989",15.8981167956476,0.863674558219314
"cbil","1990",16.4941814574967,0.848814719061835
"cbil","1991",17.1717719794849,0.880267570409086
"cbil","1992",17.4549436533323,0.894026260406793
"cbil","1993",15.8808802361754,0.937017896911216
"cbil","1994",28.5604732715286,0.939940586585498
"cbil","1995",29.1773859885812,0.988370308816765
"cbil","1996",32.1326296198251,0.983298453124607
"cbil","1997",33.5013495409977,0.984622513777625
"cbil","1998",36.3342217440831,0.978182558865122
"cbil","1999",32.2339719929557,1.00262459144231
"cbil","2000",26.6853791785011,0.979282880906317
"cbil","2001",25.1909758761003,0.947269455433818
